CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN1;1;25;CN3;2;7;PC;1;jaune
CN1;2;39;CN2;2;8;PC;2;vert
CN1;3;37;CN4;2;2;PC;3;BLANC
CN1;4;31;CN5;2;1;PC;4;NOIR
CN1;5;27;CN2;1;12;PC;5;OR
CN1;5;27;CN3;1;11;PC;6;HHHHH
CN1;5;27;CN4;1;6;PC;7;HHHKD
CN1;5;27;CN5;1;5;PC;8;EEEE
CN1;6;19;CN2;3;10;PC;9;13C-15A
CN1;6;19;CN3;3;9;PC;10;6A-14A
CN1;6;19;CN4;3;4;PC;11;6A-21A
CN1;6;19;CN5;3;3;PC;12;6A-25A
AG0;1;33;AG0;2;21;PC;1;AGRAFE10V
AG1;1;44;AG1;2;42;PC;5;AGRAFE1
AG3;1;52;AG3;2;54;PC;15;AGRAFE3
AG4;1;46;AG4;2;48;PC;16;AGRAFE4
AG5;1;64;AG5;2;62;PC;17;AGRAFE5
AG6;1;14;AG6;2;16;PC;20;AGRAFE6
