CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;1;3;CN3;2;6;PC;49;1;jaune
CN1;2;5;CN2;2;36;PC;59;1;vert
CN1;3;7;CN4;2;8;PC;61;1;BLANC
CN1;4;13;CN5;2;22;PC;57;1;NOIR
CN1;5;25;CN2;1;32;PC;59;1;EP1 ROSE NOIR
CN1;5;25;CN3;1;2;PC;49;1;EP1 ROSE BLANC
CN1;5;25;CN4;1;10;PC;61;1;EP1 ROSE VERT
CN1;5;25;CN5;1;20;PC;57;1;EP1 ROSE VIOLET
CN1;6;19;CN2;3;30;PC;59;1;EP2 ORANGE MARRON
CN1;6;19;CN3;3;4;PC;49;1;EP2 ORANGE VIOLET
CN1;6;19;CN4;3;12;PC;61;1;EP2 ORANGE BEIGE
CN1;6;19;CN5;3;18;PC;57;1;EP2 ORANGE JAUNE
AG0;1;17;AG0;2;23;PC;1;0;AGRAFE10V
AG3;1;52;AG3;2;54;PC;15;0;AGRAFE3
AG2;1;28;AG2;2;26;PC;21;0;AGRAFE2
AG5;1;64;AG5;2;62;PC;17;0;AGRAFE5
AG6;1;14;AG6;2;16;PC;63;0;AGRAFE6
AG4;1;48;AG4;2;46;PC;22;0;AGRAFE4
AG1;1;44;AG1;2;42;PC;5;0;AGRAFE1
AG5;1;64;AG5;2;62;PC;17;0;AGRAFE5
