CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;1;12;CN4;2;60;PC;58;1;JAUNE
CN1;2;10;CN2;2;94;PC;59;1;VERT
CN1;3;8;CN5;2;82;PC;8;1;BLANC
CN1;4;6;CN7;2;76;PC;57;1;NOIR
CN1;5;4;CN2;1;96;PC;59;1;EP1 BLANC
CN1;5;4;CN3;1;58;PC;60;1;EP1 NOIR
CN1;5;4;CN4;1;62;PC;58;1;EP1 VERT
CN1;5;4;CN7;1;78;PC;57;1;EP1 MARRON
CN1;5;4;CN6;1;90;PC;6;1;EP1 ORANGE
CN1;5;4;CN5;1;80;PC;8;1;EP1 BEIGE
CN1;6;2;CN2;3;92;PC;57;1;EP2  VIOLET
CN1;6;2;CN4;3;64;PC;58;1;EP2 ROSE
CN1;6;2;CN3;3;56;PC;60;1;EP2 BEIGE
CN1;6;2;CN5;3;84;PC;8;1;EP2 BLANC
CN1;6;2;CN7;3;74;PC;57;1;EP2 JAUNE
CN1;6;2;CN6;3;88;PC;6;1;EP2 NOIR
CN1;7;20;CN3;2;54;PC;60;1;jaune
CN1;8;18;CN6;2;86;PC;6;1;beige
AG0;1;26;AG0;2;28;PC;15;0;AGRAFE B N
AG1;1;97;AG1;2;99;PC;21;0;AGRAFE 1
AG2;1;101;AG2;2;103;PC;17;0;AGRAFE2
AG3;1;105;AG3;2;107;PC;63;0;AGRAFE3
AG4;1;109;AG4;2;111;PC;1;0;AGRAFE8
AG5;1;113;AG5;2;115;PC;22;0;AGRAFE4
AG6;1;117;AG6;2;119;PC;5;0;AGRAFE5
AG7;1;121;AG7;2;123;PC;17;0;AGRAFE6
AG8;1;125;AG8;2;127;PC;1;0;AGRAFE7


