CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED;COMMENTAIRE
CN1;1;1;CN6;4;8;PC;L1;CABLE ORANGE
CN1;2;2;CN6;3;9;PC;L1;CABLE NOIR
CN1;3;3;CN3;2;10;PC;L1;CABLE BLANC
CN1;4;4;CN10;2;11;PC;L1;CABLE VIOLET
CN1;5;5;CN1;7;12;PC;L1;CABLE MARRON
CN1;6;6;CN1;8;13;PC;L1;CABLE JAUNE
CN1;7;12;CN1;5;5;PC;L1;CABLE MARRON
CN1;8;13;CN1;6;6;PC;L1;CABLE JAUNE
CN1;9;7;CN6;1;14;PC;L1;CABLE VERT JAUNE
CN1;10;0;0;0;0;0;L1;BOUCHON
CN2;1;15;CN4;1;25;PC;L2;CABLE BLANC
CN2;2;16;CN11;1;26;PC;L2;CABLE ROSE
CN2;3;17;CN7;2;27;PC;L2;CABLE ORANGE
CN2;4;18;CN5;2;28;PC;L2;CABLE BEIGE
CN2;5;19;CN8;2;29;PC;L2;CABLE VERT
CN2;6;20;CN9;2;30;PC;L2;CABLE JAUNE
CN2;7;21;CN5;1;31;PC;L2;EP1 CABLE ORANGE
CN2;7;21;CN3;1;32;PC;L2;EP1 CABLE JAUNE
CN2;7;21;CN7;1;33;PC;L2;EP1 CABLE ROSE
CN2;7;21;CN9;1;34;PC;L2;EP1 CABLE  VERT
CN2;7;21;CN8;1;35;PC;L2;EP1 CABLE MARRON
CN2;7;21;CN10;1;36;PC;L2;EP1 CABLE BLANC
CN2;8;22;CN7;3;37;PC;L2;EP2 CABLE JAUNE
CN2;8;22;CN9;3;38;PC;L2;EP2 CABLE BLANC
CN2;8;22;CN8;3;39;PC;L2;EP2 CABLE VIOLET
CN2;8;22;CN10;3;40;PC;L2;EP2 CABLE BEIGE
CN2;8;22;CN5;3;41;PC;L2;EP2 CABLE NOIR
CN2;8;22;CN3;3;42;PC;L2;EP2 CABLE VERT
CN2;9;23;CN4;2;43;PC;L2;CABLE VERT JAUNE
CN2;10;24;CN11;2;44;PC;L2;CABLE VERT JAUNE
CN3;1;32;CN2;7;21;PC;L2;EP1 CABLE NOIR
CN3;1;32;CN5;1;31;PC;L3;EP1 CABLE ORANGE
CN3;1;32;CN10;1;36;PC;L3;EP1 CABLE BLANC
CN3;1;32;CN7;1;33;PC;L3;EP1 CABLE ROSE
CN3;1;32;CN9;1;34;PC;L3;EP1 CABLE VERT
CN3;1;32;CN8;1;35;PC;L3;EP1 CABLE MARRON
CN3;2;10;CN1;2;2;PC;L3;CABLE BLANC
CN3;3;42;CN2;8;22;PC;L3;EP2 CABLE MARRON
CN3;3;42;CN5;3;41;PC;L3;EP2 CABLE NOIR
CN3;3;42;CN7;3;37;PC;L3;EP2 CABLE JAUNE
CN3;3;42;CN9;3;38;PC;L3;EP2 CABLE BLANC
CN3;3;42;CN8;3;39;PC;L3;EP2 CABLE VIOLET
CN3;3;42;CN10;3;40;PC;L3;EP2 CABLE BEIGE
CN4;1;25;CN2;1;15;PC;L4;CABLE BLANC
CN4;2;43;CN2;9;23;PC;L4;CABLE JAUNE VERT
CN5;1;31;CN2;7;21;PC;L5;EP1 CABLE NOIR
CN5;1;31;CN3;1;32;PC;L5;EP1 CABLE JAUNE
CN5;1;31;CN7;1;33;PC;L5;EP1 CABLE ROSE
CN5;1;31;CN9;1;34;PC;L5;EP1 CABLE VERT
CN5;1;31;CN8;1;35;PC;L5;EP1 CABLE MARRON
CN5;1;31;CN10;1;36;PC;L5;EP1 CABLE BLANC
CN5;2;28;CN2;4;18;PC;L5;CABLE BEIGE
CN5;3;41;CN2;8;22;PC;L5;EP2 CABLE MARRON
CN5;3;41;CN3;3;42;PC;L5;EP2 CABLE VERT
CN5;3;41;CN7;3;37;PC;L5;EP2 CABLE JAUNE
CN5;3;41;CN9;3;38;PC;L5;EP2 CABLE VIOLET
CN5;3;41;CN8;3;39;PC;L5;EP2 CABLE BLANC
CN5;3;41;CN10;3;40;PC;L5;EP2 CABLE BEIGE
